           1    0.0000  2.9331407094824E-13  0.0000000000000E+00  0.0000000000000E+00  0.0000000000000E+00  0.0000000000000E+00  2.9331407094824E-13
           2    0.0037  1.7300063367179E-12  0.0000000000000E+00  0.0000000000000E+00 -1.6343513276802E-15  0.0000000000000E+00  1.7316406880456E-12
           3    0.0096  1.7948198298549E-11  0.0000000000000E+00  0.0000000000000E+00 -5.1240825952958E-14  0.0000000000000E+00  1.7999439124502E-11
           4    0.0155  5.1176955769446E-11  0.0000000000000E+00  0.0000000000000E+00 -2.4667300805468E-13  0.0000000000000E+00  5.1423628777501E-11
           5    0.0254  1.4432892208731E-10  0.0000000000000E+00  0.0000000000000E+00 -1.1707338126815E-12  0.0000000000000E+00  1.4549965589999E-10
           6    0.0388  3.4604810253576E-10  0.0000000000000E+00  0.0000000000000E+00 -4.3606474946766E-12  0.0000000000000E+00  3.5040875003044E-10
           7    0.0564  7.4228274157969E-10  0.0000000000000E+00  0.0000000000000E+00 -1.3759267290410E-11  0.0000000000000E+00  7.5604200887010E-10
           8    0.0788  1.4508131754414E-09  0.0000000000000E+00  0.0000000000000E+00 -3.7805082711571E-11  0.0000000000000E+00  1.4886182581530E-09
           9    0.0811  1.5389109662770E-09  0.0000000000000E+00  0.0000000000000E+00 -4.1324257062180E-11  0.0000000000000E+00  1.5802352233392E-09
          10    0.0883  1.8229501778844E-09  0.0000000000000E+00  0.0000000000000E+00 -5.3372059790545E-11  0.0000000000000E+00  1.8763222376750E-09
          11    0.0937  2.0525275957899E-09  0.0000000000000E+00  0.0000000000000E+00 -6.3850299539613E-11  0.0000000000000E+00  2.1163778953295E-09
          12    0.0991  2.2935314446646E-09  0.0000000000000E+00  0.0000000000000E+00 -7.5519580317274E-11  0.0000000000000E+00  2.3690510249819E-09
          13    0.1016  2.4101643050127E-09  1.0820303479190E-16  0.0000000000000E+00 -8.1402766062171E-11  0.0000000000000E+00  2.4915670710749E-09
          14    0.1063  2.6380950394418E-09  1.1760021040116E-14  0.0000000000000E+00 -9.3327201104729E-11  0.0000000000000E+00  2.7314222405465E-09
          15    0.1084  2.7434848210406E-09  3.2476394546015E-14  0.0000000000000E+00 -9.9026614445234E-11  0.0000000000000E+00  2.8425114354858E-09
          16    0.1114  2.8966333931285E-09  9.0859385663794E-14  0.0000000000000E+00 -1.0751241511632E-10  0.0000000000000E+00  3.0041458082448E-09
          17    0.1137  3.0172444236533E-09  1.6641513337602E-13  0.0000000000000E+00 -1.1436165511981E-10  0.0000000000000E+00  3.1316060787731E-09
          18    0.1177  3.2273292830651E-09  3.7410478674443E-13  0.0000000000000E+00 -1.2663316541797E-10  0.0000000000000E+00  3.3539624484831E-09
          19    0.1224  3.4883284277615E-09  7.9138681886939E-13  0.0000000000000E+00 -1.4246543706235E-10  0.0000000000000E+00  3.6307938648238E-09
          20    0.1255  3.6658933267771E-09  1.1902343775932E-12  0.0000000000000E+00 -1.5359728053373E-10  0.0000000000000E+00  3.8194906073108E-09
          21    0.1293  3.8868322858833E-09  1.8301640064485E-12  0.0000000000000E+00 -1.6784473794987E-10  0.0000000000000E+00  4.0546770238331E-09
          22    0.1358  4.2850363476435E-09  3.4193518474255E-12  0.0000000000000E+00 -1.9459869715404E-10  0.0000000000000E+00  4.4796350447975E-09
          23    0.1444  4.8331810817828E-09  6.6062357737811E-12  0.0000000000000E+00 -2.3359494406388E-10  0.0000000000000E+00  5.0667760258466E-09
          24    0.1524  5.3711606369630E-09  1.0938456438527E-11  0.0000000000000E+00 -2.7419351965582E-10  0.0000000000000E+00  5.6453541566188E-09
          25    0.1591  5.8471371179485E-09  1.5812149746274E-11  0.0000000000000E+00 -3.1194663360229E-10  0.0000000000000E+00  6.1590837515508E-09
          26    0.1658  6.3439884911652E-09  2.1970883522156E-11  0.0000000000000E+00 -3.5311892059045E-10  0.0000000000000E+00  6.6971074117557E-09
          27    0.1819  7.6027150047380E-09  4.2562246040434E-11  0.0000000000000E+00 -4.6507288408004E-10  0.0000000000000E+00  8.0677878888180E-09
          28    0.2066  9.7382614364119E-09  9.3993529932435E-11  0.0000000000000E+00 -6.7822186377403E-10  0.0000000000000E+00  1.0416483300186E-08
          29    0.2304  1.2041863242305E-08  1.7242107180803E-10  0.0000000000000E+00 -9.3795508257987E-10  0.0000000000000E+00  1.2979818324885E-08
          30    0.2593  1.5122967759473E-08  3.1328108907552E-10  0.0000000000000E+00 -1.3292069665228E-09  0.0000000000000E+00  1.6452174725996E-08
          31    0.2929  1.9105542844119E-08  5.5345811432100E-10  0.0000000000000E+00 -1.9025676730814E-09  0.0000000000000E+00  2.1008110517200E-08
          32    0.3495  2.6762103945614E-08  1.1867516464618E-09  0.0000000000000E+00 -3.1965278954719E-09  0.0000000000000E+00  2.9958631841086E-08
          33    0.4113  3.6374835555153E-08  2.2753233145384E-09  0.0000000000000E+00 -5.1386123230452E-09  0.0000000000000E+00  4.1513447878198E-08
          34    0.4477  4.2632562365764E-08  3.1466583920350E-09  0.0000000000000E+00 -6.5751473906096E-09  0.0000000000000E+00  4.9207709756373E-08
          35    0.4807  4.8679787304445E-08  4.1036388466362E-09  0.0000000000000E+00 -8.0836841259378E-09  0.0000000000000E+00  5.6763471430383E-08
          36    0.5256  5.7413232353984E-08  5.6759638522037E-09  0.0000000000000E+00 -1.0460149328815E-08  0.0000000000000E+00  6.7873381682799E-08
          37    0.6007  7.3358579951078E-08  9.0960298556090E-09  0.0000000000000E+00 -1.5365428226451E-08  0.0000000000000E+00  8.8724008177529E-08
